Requirement ID,Workbook row,Capability,Feature,Requirement text,Workbook evidence text,Test IDs,Execution status,Acceptance owner,Evidence / defect
REQ-34,34,AGENT CREATION,Audit logs,Time stamped comprehensive logs showcasing sub-agents created based on executive's request should be maintained,,AGT-04,Not run,Unassigned,
REQ-35,35,AGENT CREATION,Sub-agent logs,Logs showcasing successful runs of sub-agents,,"AGT-02,AGT-04",Not run,Unassigned,
REQ-36,36,INSTITUTIONAL MEMORY,Memory build up,"Agent indexes every meeting, decision, document, and email the executive engages with, building a permanent, searchable record of context, rationale, and outcomes","1, Live or recorded demo: query retrieves historical information with full context and source documents.","MEM-01,MEM-02",Not run,Unassigned,
REQ-37,37,INSTITUTIONAL MEMORY,Use of institutional memory,"Agent leverages institutional memory and provides answers with original context, participants, and supporting documents","2. Logs showing traces where historical information was retrieved and considered in the thinking process of
the agent.","MEM-01,MEM-02",Not run,Unassigned,
REQ-38,38,INSTITUTIONAL MEMORY,Source transparency,Original source documents should be provided by agent,,"MEM-01,QRY-05",Not run,Unassigned,
REQ-39,39,INSTITUTIONAL MEMORY,Audit logs,Timestamped comprehensive logs should be maintained to showcase how the agent used institutional memory in its thinking process,,"MEM-02,TRC-01",Not run,Unassigned,
REQ-40,40,MEETING INTELLIGENCE,Meeting attendance (virtual),Agent automatically joins virtual meetings,"1. Sample of either auto-generated minutes from human input, meeting transcription or live action tracker.",MTG-04,Not run,Unassigned,
REQ-41,41,MEETING INTELLIGENCE,Meeting attendance (in-person),Agent automatically joins in-person meetings,"2. Live or recorded demo showing either a meeting being transcribed and the minutes or the agent utilizing the
recorded minutes of a meeting to generate the summary and share it with participants.",MTG-04,Not run,Unassigned,
REQ-42,42,MEETING INTELLIGENCE,Generates & circulates minutes,Agent produces and circulates accurate minutes including decisions and action items with named owners and deadlines,,MTG-02,Not run,Unassigned,
REQ-43,43,MEETING INTELLIGENCE,Autonomous follow up,Agent follows up autonomously until each item closes (owners can receive nudges as deadlines approach),,"MTG-03,AUT-01",Not run,Unassigned,
REQ-44,44,MEETING INTELLIGENCE,Live action tracker,Agent produces live tracker of what's outstanding across all meetings,,MTG-03,Not run,Unassigned,
REQ-45,45,PEER BENCHMARKING,Internal and external data connectivity,"Agent pulls comparable data from peer entities, peer
jurisdictions, or international benchmark sources based on the KPIs defined for comparison",1. Sample benchmark query comparing entity KPI against peers or industry standards.,"BEN-01,CFG-02",Not run,Unassigned,
REQ-46,46,PEER BENCHMARKING,Comparison with peers,Agent presents comparisons with peers based on the KPIs aligned with the Executive,2. List of benchmark data sources integrated (domestic and international).,BEN-01,Not run,Unassigned,
REQ-47,47,PEER BENCHMARKING,Source transparency,"Data source should be consistently shown to the executive at the front end, for each data point",,"BEN-01,QRY-05",Not run,Unassigned,
REQ-48,48,PEER BENCHMARKING,Confidence level,Agent provides confidence level to each data point based on a defined framework,,"BEN-01,EVA-02",Not run,Unassigned,
REQ-49,49,PEER BENCHMARKING,Delivery mode,Benchmarks can be automated or on demand,,"BEN-02,AUT-01",Not run,Unassigned,
REQ-50,50,PEER BENCHMARKING,Output consistency,Facts of the benchmarks / comparisons should be the same for the same KPI & period,,"BEN-02,QRY-04",Not run,Unassigned,
REQ-51,51,DECISION TRACEABILITY,Cross-capability application,"This capability applies to Proactive Recommendation Engine, Evaluation Engine and Peer Benchmarking. It applies to decisions / recommendations / evaluations performed by the agent.","1. Sample recommendation with expandable reasoning, sources, and confidence view in a log export format
covering a sample period.","TRC-01,TRC-05",Not run,Unassigned,
REQ-52,52,DECISION TRACEABILITY,Expandable reasoning chain,Agents' output should be accompanied by reasoning chain in non-technical & easy to understand language i.e. rationale why a decision was taken. Executive should have the option to expand an answer to see why it was given,2. Logs showing traces where a decision was requested/done accompanied by its reasoning chain.,"TRC-05,TRC-06",Not run,Unassigned,
REQ-53,53,DECISION TRACEABILITY,Source transparency,"Data source should be consistently shown to the executive at the front end, for each data point",3. Live or recorded demo showing the agent’s capability to reason and produce either a recommendation or evaluation of a specific user’s request.,"TRC-01,QRY-05",Not run,Unassigned,
REQ-54,54,DECISION TRACEABILITY,Confidence level,Agent provides confidence level to each data point based on a defined framework,,"EVA-02,TRC-06",Not run,Unassigned,
REQ-55,55,DECISION TRACEABILITY,Audit trail and decision metadata,"Complete audit trial should be logged in a way that decisions can be reconstructed by auditors. Logs should include the following aspects:
a. identity: user identity also including agents & its versions where applicable (user id, user role, timestamp) and unique decision ID
b. provenance: which data sources were used to generate the output
c. attribution: which person, model, source, or system contributed to the decision (ERP, SharePoint, Agent, User etc.)
d. rationale: why a particular recommendation / decision was provided
e. exportable: logs should be exportable",,"TRC-01,SEC-04",Not run,Unassigned,
REQ-56,56,DECISION TRACEABILITY,Integrity of audit logs,Logs should be tamper proof,,"TRC-02,TRC-03,OPS-06",Not run,Unassigned,
