Workbook row,Capability,Feature,Requirement,Status,Priority,Existing code,Required update,Code evidence,Acceptance / evidence
15,PROACTIVE RECOMMENDATION ENGINE,Notification mechanism,"Agent should provide automated recommendations through a daily alerts feed, push notifications, or an end-of-day digest",Present - validate,P1,Durable notification outbox and email dispatch are implemented.,"Prove scheduled delivery, correct recipient and recovery in the deployed environment; email meets one permitted channel.",mcp-apps/ask-productivity/productivity_mcp/recommendation_engine.py:1411; mcp-apps/ask-productivity/productivity_mcp/worker.py:192,"Live alert email/feed plus provider receipt, deduplication and restart recovery evidence."
16,PROACTIVE RECOMMENDATION ENGINE,Feedback mechanism,Agent captures feedback from Executive on the relevance  / usefulness of each alert issued (capturing risk / opportunity / benchmark),Present - validate,P2,"Per-alert useful/not useful feedback, type, identity and persistence logic.",Verify executive UI wiring and evidence export.,mcp-apps/ask-productivity/productivity_mcp/feedback_service.py:96; mcp-apps/ask-productivity/productivity_mcp/server.py:1,"Executive submits a rating; record remains associated with original alert, category and identity."
17,PROACTIVE RECOMMENDATION ENGINE,Source transparency,Source system should be consistently displayed against information returned by the agent,Partial,P1,"Recommendations carry claims, sources and confidence.",Verify source rendering and prevent unverified supplied snapshots being treated as provider evidence.,mcp-apps/ask-productivity/productivity_mcp/tools_recommendations.py:66,"Alert displays original KPI source, reporting period, scope and freshness."
18,PROACTIVE RECOMMENDATION ENGINE,Audit logs,Time stamped comprehensive logs of recommendations issued by the agent should be maintained showcasing that the engine operates autonomously,Partial,P1,Recommendation/outbox history and subscription run records exist.,"Include scheduled scan executions, workload identity and fresh input lineage; export real autonomous history.",mcp-apps/ask-productivity/productivity_mcp/recommendation_engine.py:930; mcp-apps/ask-productivity/productivity_mcp/subscription_service.py:424,"30-day categorized recommendation log links source acquisition, evaluation and delivery timestamps."
19,EVALUATION ENGINE,Evaluation scope,"Agent ingests any proposal, strategy, business case,
budget submission, or expenditure request",Partial,P1,Structured vendor-option evaluation exists.,"Add document ingestion and evaluation for strategies, business cases, budget submissions and expenditure requests.",mcp-apps/ask-facilitator/facilitator_mcp/vendor_evaluation.py:155; mcp-apps/ask-facilitator/facilitator_mcp/tools.py:509,Evaluate representative documents from each requested class with linked extracted evidence.
20,EVALUATION ENGINE,Evaluation framework,"Agent produces a structured evaluation against the following criteria:
a. strategic priorities
b. fiscal impact
c. peer benchmarks
d. historical precedent",Partial,P1,"Approved vendor policy scores technical, commercial and historical performance.","Add explicit strategic priorities, fiscal impact and comparable peer benchmarks across evaluation types.",mcp-apps/ask-facilitator/facilitator_mcp/vendor_evaluation.py:81,Versioned framework covers all four criteria and records missing inputs explicitly.
21,EVALUATION ENGINE,Output structure,"Output should include the following for each evaluation:
a. alignment score
b. financial impact
c. comparable cases
d. identified risks
e. open questions for the executive to probe",Partial,P1,"Vendor rankings, weighted scores, claims and rationale are returned.","Add complete alignment score, fiscal impact, comparable cases, risks and executive questions schema.",mcp-apps/ask-facilitator/facilitator_mcp/decision_service.py:405,"Every evaluation exposes all five required sections, using unavailable states where evidence is absent."
22,EVALUATION ENGINE,Output consistency,Output produced by the agent should be consistent every time,Partial,P1,Deterministic vendor scoring and historical decision retrieval.,Extend repeatability to broader evaluation scope and fixed evidence/policy versions.,mcp-apps/ask-facilitator/facilitator_mcp/vendor_evaluation.py:302; mcp-apps/ask-facilitator/facilitator_mcp/decision_service.py:549,Repeated and paraphrased evaluations of frozen inputs produce consistent scores and facts.
23,EVALUATION ENGINE,Confidence level,Agent shows a confidence level at the front end (for the executive to view) for evaluations and data points,Partial,P0,Confidence framework and evaluation confidence fields exist.,Remove automatic HIGH/VERIFIED assumptions for caller-supplied technical and commercial facts; verify display in executive UI.,mcp-apps/ask-facilitator/facilitator_mcp/decision_service.py:309; mcp-apps/ask-productivity/productivity_mcp/confidence_policy.py:44,Missing/unverified/stale inputs lower confidence; executive can inspect evidence-based reasons.
24,EVALUATION ENGINE,Audit logs,Time stamped comprehensive logs to showcase working of the evaluation engine should be maintained,Partial,P1,Vendor decision persistence and signed export.,Extend logs to all evaluation types and collect actual usage history.,mcp-apps/ask-facilitator/facilitator_mcp/decision_audit.py:152; mcp-apps/ask-facilitator/facilitator_mcp/audit_export.py:465,"30-day evaluation log with repeated-case evidence, policy versions, input snapshots and outcomes."
25,BRIEFING AND SYNTHESIS,Sync with Executive's emails and other platforms,"Agent reads the executive's calendar, inbox, or relevant
files",Partial,P1,"Calendar, mail, Teams, Planner and transcript read code.",Verify per-executive mailbox binding and relevant file retrieval; instructions alone do not prove SharePoint/DMS integration.,mcp-apps/ask-productivity/productivity_mcp/m365_client.py:1; mcp-apps/ask-successfactors/agent/appPackage/instruction.txt:35,"Authenticated executive-specific calendar, inbox and file examples with permission-denial cases."
26,BRIEFING AND SYNTHESIS,Automated briefs,"Agent automatically produces pre-meeting briefs,
end-of-day digests, or a triaged inbox view ranking what
needs attention",Present - validate,P1,"Morning, pre-meeting, EOD synthesis and inbox triage; worker subscription dispatch.","Validate configuration and deployed schedule, and resolve worker mailbox issue before multi-executive rollout.",mcp-apps/ask-productivity/productivity_mcp/briefing_service.py:48; mcp-apps/ask-productivity/productivity_mcp/worker.py:37,Real pre-meeting and EOD artifacts are created automatically at configured times.
27,BRIEFING AND SYNTHESIS,Automated delivery of briefs,"Briefs can be attached to every calendar invite the
night before or digests landing at the end of each day",Partial,P1,Email briefs and configurable pre-meeting lead time.,Calendar attachment/night-before invite workflow not found. EOD email is implemented but requires live acceptance.,mcp-apps/ask-productivity/productivity_mcp/schedule_engine.py:149; mcp-apps/ask-productivity/productivity_mcp/worker.py:153,Demonstrate requested invite attachment/night-before behavior or formally accept scheduled EOD email delivery.
28,BRIEFING AND SYNTHESIS,Source transparency,"Briefs should contain references to underlying emails, meetings or documents where applicable",Partial,P1,Briefings contain source collections and attributed claims.,"Ensure links resolve to underlying emails/events/documents, not just generic Graph API collection endpoints.",mcp-apps/ask-productivity/productivity_mcp/briefing_service.py:80,Open underlying evidence from the executive briefing with the same access permissions.
29,BRIEFING AND SYNTHESIS,Audit logs,"Time stamped comprehensive logs to showcase automated generation and delivery of briefs, including delivery timing should be maintained",Present - validate,P1,"Subscription run history captures content hash, scheduled occurrence and provider receipt.",Export real generation/delivery timing and distinguish provider acceptance from final inbox delivery.,mcp-apps/ask-productivity/productivity_mcp/worker.py:167; mcp-apps/ask-productivity/productivity_mcp/subscription_service.py:424,Scheduled-versus-actual generation and delivery evidence for pre-meeting and EOD runs.
30,AGENT CREATION,Natural language interface,"Through a simple natural-language interface, the
executive describes a recurring task to the agent",Partial,P1,Natural-language agent can expose fixed automation subscription tools.,Add recurring-task interpretation into a validated executable sub-agent specification.,mcp-apps/ask-productivity/productivity_mcp/server.py:508; mcp-apps/ask-productivity/productivity_mcp/evidence_contracts.py:44,Executive describes a new recurring task and receives an editable agent specification.
31,AGENT CREATION,Sub-agent creation,"Agent builds, deploys, and maintains a sub-agent to handle it based on the natural language request (non-technical).
No code, no IT ticket, no procurement cycle.",Missing,P1,Fixed briefing subscriptions are a reusable foundation.,No general build/deploy/maintain sub-agent runtime found; current executive instructions explicitly avoid child agents.,mcp-apps/ask-successfactors/agent/appPackage/instruction.txt:2; mcp-apps/ask-productivity/productivity_mcp/subscription_service.py:80,A natural-language request creates and deploys a versioned sub-agent without developer intervention.
32,AGENT CREATION,Autonomous working of sub-agent,Sub-agents run autonomously on schedule or trigger to complete the Executive's tasks,Partial,P1,Worker runs predefined scheduled briefing kinds.,"Add generic sub-agent job execution and event triggers with scoped authorization, retries and telemetry.",mcp-apps/ask-productivity/productivity_mcp/worker.py:120; mcp-apps/ask-productivity/productivity_mcp/evidence_contracts.py:44,Newly created agent completes a scheduled and an event-triggered run autonomously.
33,AGENT CREATION,Control over sub-agents' lifecycle,"Executive can edit, pause, or retire sub-agents at any time with a simple interface",Partial,P1,Prepare/confirm/revoke subscription operations.,"Implement agent edit, pause, resume and retire UI/API plus versioned authorization changes.",mcp-apps/ask-productivity/productivity_mcp/subscription_service.py:80; mcp-apps/ask-productivity/productivity_mcp/subscription_service.py:228,"Executive changes schedule/task, pauses it, resumes it and retires it; no runs occur while paused/retired."
34,AGENT CREATION,Audit logs,Time stamped comprehensive logs showcasing sub-agents created based on executive's request should be maintained,Partial,P1,Subscription records preserve authorization and configuration.,"Add actual sub-agent creation, deployment and lifecycle audit records.",mcp-apps/ask-productivity/productivity_mcp/evidence_contracts.py:198; mcp-apps/ask-productivity/productivity_mcp/subscription_service.py:80,"Trace executive request to deployed agent ID, version and authorization."
35,AGENT CREATION,Sub-agent logs,Logs showcasing successful runs of sub-agents,Partial,P1,Subscription run history exists.,"Add sub-agent run inputs, outputs, success/failure and external action receipts.",mcp-apps/ask-productivity/productivity_mcp/subscription_service.py:424,Export successful and failed runs for an executive-created sub-agent.
36,INSTITUTIONAL MEMORY,Memory build up,"Agent indexes every meeting, decision, document, and email the executive engages with, building a permanent, searchable record of context, rationale, and outcomes",Partial,P1,Vendor institutional records and explicit chat JSONL ingestion.,"Add permission-aware ingestion/indexing of meetings, decisions, documents and email; no comprehensive indexer found.",mcp-apps/ask-facilitator/facilitator_mcp/institutional_memory.py:138; mcp-apps/ask-facilitator/facilitator_mcp/tools.py:191,"New content becomes searchable with provenance, context and applicable retention/deletion controls."
37,INSTITUTIONAL MEMORY,Use of institutional memory,"Agent leverages institutional memory and provides answers with original context, participants, and supporting documents",Partial,P1,"Vendor history retrieval supports original evidence, time coverage and scope.","Generalize retrieval to executive topics, participants, decisions and outcomes across all content types.",mcp-apps/ask-facilitator/facilitator_mcp/institutional_memory.py:347,"Historical query retrieves original participants, rationale, outcome and accessible supporting documents."
38,INSTITUTIONAL MEMORY,Source transparency,Original source documents should be provided by agent,Partial,P1,Vendor records retain source_doc_ref and source hashes.,Provide retrievable original documents for general memory and verify links/ACLs.,mcp-apps/ask-facilitator/facilitator_mcp/institutional_memory.py:138,Executive opens authorized originals; revoked documents disappear from retrieval.
39,INSTITUTIONAL MEMORY,Audit logs,Timestamped comprehensive logs should be maintained to showcase how the agent used institutional memory in its thinking process,Partial,P1,Vendor decisions retain consulted institutional evidence.,"Log general memory retrieval IDs, versions and contribution to a concise decision rationale.",mcp-apps/ask-facilitator/facilitator_mcp/decision_audit.py:152; mcp-apps/ask-facilitator/facilitator_mcp/decision_service.py:213,Export a trace showing which historical records informed the answer; no private internal chain of thought needed.
40,MEETING INTELLIGENCE,Meeting attendance (virtual),Agent automatically joins virtual meetings,Missing,P1,Existing transcript retrieval is available.,No automatic virtual meeting join/attendance implementation found.,mcp-apps/ask-productivity/productivity_mcp/m365_client.py:1317,Meeting invite triggers permitted attendance and produces usable captured meeting evidence.
41,MEETING INTELLIGENCE,Meeting attendance (in-person),Agent automatically joins in-person meetings,Missing,P1,User-supplied transcript/notes path is available.,"No in-person audio capture, transcription or meeting participation integration found.",mcp-apps/ask-productivity/productivity_mcp/server.py:922; mcp-apps/ask-productivity/productivity_mcp/meeting_actions.py:84,Approved in-person capture creates speaker-attributed transcript and traceable minutes.
42,MEETING INTELLIGENCE,Generates & circulates minutes,Agent produces and circulates accurate minutes including decisions and action items with named owners and deadlines,Partial,P1,"Action extraction, owner resolution, approved Planner tasks and summary-email draft tools.",Complete accurate minutes generation and circulation; Facilitator calendar workflow currently returns SOURCE_UNAVAILABLE.,mcp-apps/ask-productivity/productivity_mcp/meeting_actions.py:84; mcp-apps/ask-facilitator/facilitator_mcp/tools.py:176; mcp-apps/ask-facilitator/facilitator_mcp/tools.py:369,"Transcript/notes produce reviewed minutes, decisions, named owners and deadlines, then receipt-backed circulation."
43,MEETING INTELLIGENCE,Autonomous follow up,Agent follows up autonomously until each item closes (owners can receive nudges as deadlines approach),Partial,P1,Reminder evaluator checks Planner status and due dates.,Wire evaluator into scheduled dispatch; ACTION_REMINDER is schedulable but unsupported by worker dispatch switch.,mcp-apps/ask-productivity/productivity_mcp/meeting_actions.py:794; mcp-apps/ask-productivity/productivity_mcp/schedule_engine.py:192; mcp-apps/ask-productivity/productivity_mcp/worker.py:140,"Autonomous nudges occur before/after deadline, deduplicate and stop on completion."
44,MEETING INTELLIGENCE,Live action tracker,Agent produces live tracker of what's outstanding across all meetings,Present - validate,P1,Live tracker reads mapped meeting actions and synchronizes Planner completion.,Prove coverage of all in-scope meetings and correct access boundaries.,mcp-apps/ask-productivity/productivity_mcp/meeting_actions.py:657; mcp-apps/ask-productivity/productivity_mcp/tools_m365_reads.py:1606,"Tracker shows owners, deadlines, overdue state and provider-updated completion across meetings."
45,PEER BENCHMARKING,Internal and external data connectivity,"Agent pulls comparable data from peer entities, peer
jurisdictions, or international benchmark sources based on the KPIs defined for comparison",Missing,P1,PeerBenchmarkRecord storage schema exists.,No functioning peer-data acquisition/comparability service or external benchmark source integration found.,mcp-apps/ask-productivity/productivity_mcp/business_repository.py:232; mcp-apps/ask-productivity/productivity_mcp/business_repository.py:1601,"Integrated approved peer datasets with source inventory, dates, units and cohort definitions."
46,PEER BENCHMARKING,Comparison with peers,Agent presents comparisons with peers based on the KPIs aligned with the Executive,Missing,P1,Peer storage fields and card template exist.,"Build KPI/cohort selection, normalization and comparison calculation service.",mcp-apps/ask-productivity/productivity_mcp/business_repository.py:232; mcp-apps/ask-successfactors/agent/appPackage/adaptive-cards/peer-benchmark.json:1,Internal KPI compared with valid matched peer cohort and period; incomparable data rejected.
47,PEER BENCHMARKING,Source transparency,"Data source should be consistently shown to the executive at the front end, for each data point",Partial,P1,Benchmark datasource field and generic EvidenceSource contract.,Populate verified per-datapoint peer provenance and render it.,mcp-apps/ask-productivity/productivity_mcp/business_repository.py:232; mcp-apps/ask-productivity/productivity_mcp/evidence_contracts.py:87,"Each internal/peer value exposes a retrievable source, period and transformation history."
48,PEER BENCHMARKING,Confidence level,Agent provides confidence level to each data point based on a defined framework,Partial,P1,Reusable comparability-aware confidence framework.,Apply it to real peer values; storage/template alone does not establish confidence.,mcp-apps/ask-productivity/productivity_mcp/confidence_policy.py:44,"Confidence reflects peer freshness, coverage and comparability with visible reasons."
49,PEER BENCHMARKING,Delivery mode,Benchmarks can be automated or on demand,Missing,P1,Generic worker/outbox could be reused.,Add on-demand benchmark tool and/or scheduled benchmark service; benchmark recommendation branch currently skips execution.,mcp-apps/ask-productivity/productivity_mcp/recommendation_engine.py:1162,A real on-demand or automatic benchmark request returns a sourced comparison.
50,PEER BENCHMARKING,Output consistency,Facts of the benchmarks / comparisons should be the same for the same KPI & period,Missing,P1,Version field exists on benchmark storage.,Build deterministic comparison over immutable KPI/peer snapshots and frozen definitions.,mcp-apps/ask-productivity/productivity_mcp/business_repository.py:232,"Same KPI, cohort, period and dataset version always produce identical comparison facts."
51,DECISION TRACEABILITY,Cross-capability application,"This capability applies to Proactive Recommendation Engine, Evaluation Engine and Peer Benchmarking. It applies to decisions / recommendations / evaluations performed by the agent.",Partial,P1,Vendor decision manifests and recommendation evidence contracts.,"Apply one trace/export contract across recommendations, general evaluations and peer benchmarking.",mcp-apps/ask-facilitator/facilitator_mcp/decision_audit.py:152; mcp-apps/ask-productivity/productivity_mcp/evidence_contracts.py:157,A sample from each capability can be reconstructed from an export.
52,DECISION TRACEABILITY,Expandable reasoning chain,Agents' output should be accompanied by reasoning chain in non-technical & easy to understand language i.e. rationale why a decision was taken. Executive should have the option to expand an answer to see why it was given,Partial,P1,Vendor concise rationale/calculation trace; decision card exists.,Wire an expandable executive explanation panel; current decision card has only metadata and no expand action.,mcp-apps/ask-facilitator/facilitator_mcp/decision_service.py:405; mcp-apps/ask-successfactors/agent/appPackage/adaptive-cards/decision-trace.json:1,"Executive expands Why this result to see criteria, calculations, evidence and limitations in plain language."
53,DECISION TRACEABILITY,Source transparency,"Data source should be consistently shown to the executive at the front end, for each data point",Partial,P0,Claim source references and decision manifests.,Reject fabricated fallback document references; standardize source display across all decision-producing tools.,mcp-apps/ask-facilitator/facilitator_mcp/decision_service.py:172; mcp-apps/ask-productivity/productivity_mcp/evidence_contracts.py:87,Every decision fact is traceable to an actual original or retained provider snapshot.
54,DECISION TRACEABILITY,Confidence level,Agent provides confidence level to each data point based on a defined framework,Partial,P0,Versioned confidence model with source reliability/comparability factors.,"Evaluate confidence from evidence rather than unconditional HIGH/VERIFIED values, and show it per material point.",mcp-apps/ask-facilitator/facilitator_mcp/decision_service.py:309; mcp-apps/ask-productivity/productivity_mcp/confidence_policy.py:44,"Missing, stale and incomparable evidence demonstrably changes displayed confidence."
55,DECISION TRACEABILITY,Audit trail and decision metadata,"Complete audit trial should be logged in a way that decisions can be reconstructed by auditors. Logs should include the following aspects:
a. identity: user identity also including agents & its versions where applicable (user id, user role, timestamp) and unique decision ID
b. provenance: which data sources were used to generate the output
c. attribution: which person, model, source, or system contributed to the decision (ERP, SharePoint, Agent, User etc.)
d. rationale: why a particular recommendation / decision was provided
e. exportable: logs should be exportable",Partial,P0,"Vendor manifests contain actor, policy, input snapshots, rationale and export.",Bind actor/tenant/roles to verified identity; extend signed exports across capabilities with actual agent/model versions.,mcp-apps/ask-facilitator/facilitator_mcp/server.py:182; mcp-apps/ask-facilitator/facilitator_mcp/decision_audit.py:58; mcp-apps/ask-facilitator/facilitator_mcp/audit_export.py:465,"Auditor reconstructs identity, input versions, contributors, rationale and outcome without caller-controlled attribution."
56,DECISION TRACEABILITY,Integrity of audit logs,Logs should be tamper proof,Partial,P0,Hash/signature verification and application-level mutation guards.,Remove fallback signing secret; use managed key custody and independently enforced immutable retention. SQLite/application checks do not make logs tamper-proof.,mcp-apps/ask-facilitator/facilitator_mcp/decision_audit.py:32; mcp-apps/ask-facilitator/facilitator_mcp/decision_audit.py:113; mcp-apps/ask-productivity/productivity_mcp/business_repository.py:1760,Alteration/deletion attempts by app and storage administrators are prevented or independently detected; key rotation and retention verified.
