Control ID,Domain,Original requirement,Original owner,Workbook status,Review status,Open findings,Acceptance evidence,Review evidence
AIDEV-26,Secure error handling,"Return generic, user-safe errors. Do not expose stack traces, internal endpoints, secrets, prompts, or schemas. Fail closed for authorization and policy errors.",AI Development Team,Not Started,NOT VERIFIED — dedicated acceptance evidence required,,"Error responses reveal no stack trace, secrets or internal queries; denied calls have zero side effects.",REVIEW.md; security-probe-results.json; suite XML/logs; source-snapshot.json; azure-read-verification.json
AIDEV-27,Resilience,"Apply timeouts, bounded retries, concurrency limits, rate limits, and circuit breakers to prevent loops, uncontrolled consumption, and cascading failures.",AI Development Team,Not Started,OPEN — source or verification gaps,"R06, R10",Load/failure tests stay within agreed budgets; uncertain writes are not automatically retried.,REVIEW.md; security-probe-results.json; suite XML/logs; source-snapshot.json; azure-read-verification.json
AIDEV-28,Privacy and retention,"Implement approved retention and deletion for prompts, responses, files, context, caches, and logs. Ensure residency requirements are met.",AI Development Team,Not Started,OPEN — source or verification gaps,R17,Deletion and permission revocation propagate; location/exception evidence covers every processor.,REVIEW.md; security-probe-results.json; suite XML/logs; source-snapshot.json; azure-read-verification.json
MCP-01,Architecture,"Document the MeshX MCP server architecture: hosting, transport, exposed resources/prompts/tools, downstream APIs, trust boundaries, and data flows to the agent through the approved gateway path.",MeshX Team & SAP Team,Not Started,OPEN — source or verification gaps,R17,Service owner approves architecture and all enabled endpoints map to documented trust boundaries.,REVIEW.md; security-probe-results.json; suite XML/logs; source-snapshot.json; azure-read-verification.json
MCP-02,Attack surface,"Maintain an approved inventory of MCP tools, resources, prompts, endpoints, versions, owners, and required permissions. Disable everything not explicitly required.",MeshX Team & SAP Team,Not Started,OPEN — source or verification gaps,R14,Discovery and direct invocation expose only the approved capability inventory.,REVIEW.md; security-probe-results.json; suite XML/logs; source-snapshot.json; azure-read-verification.json
MCP-03,Authentication,Require strong authentication for every remote MCP connection and administrative interface. Reject unauthenticated requests. Never use session identifiers as authentication.,MeshX Team & SAP Team,Not Started,OPEN — source or verification gaps,"R03, R04, R11",No-token/wrong-token requests fail through every supported remote transport and alias.,REVIEW.md; security-probe-results.json; suite XML/logs; source-snapshot.json; azure-read-verification.json
MCP-04,Token validation,"Validate token signature, issuer, audience, expiry, not-before, scopes, and intended resource. Accept only tokens issued for this MCP server.",MeshX Team & SAP Team,Not Started,OPEN — source or verification gaps,"R04, R05, R11","Wrong audience/issuer, missing expiry, invalid signature and missing scope fail before dispatch.",REVIEW.md; security-probe-results.json; suite XML/logs; source-snapshot.json; azure-read-verification.json
MCP-05,Authorization,"Authorize every MCP request and tool call using least privilege and the requesting user/service context. Enforce object, tenant, record, and field-level restrictions.",MeshX Team & SAP Team,Not Started,OPEN — source or verification gaps,"R02, R03, R11, R12, R13",An authenticated user cannot enumerate or retrieve records/fields outside their entitlement.,REVIEW.md; security-probe-results.json; suite XML/logs; source-snapshot.json; azure-read-verification.json
MCP-06,Confused deputy,Prevent the MCP server from using its own broader privileges to perform actions the requester cannot perform. Bind authorization and consent to the initiating client and user. (Exec AI Agent),MeshX Team & SAP Team,Not Started,OPEN — source or verification gaps,"R03, R05, R08, R11",A limited user with a privileged backend still receives only their permitted dataset.,REVIEW.md; security-probe-results.json; suite XML/logs; source-snapshot.json; azure-read-verification.json
MCP-07,Read-only scope,"Expose only the read-only capabilities required by the Exec AI Agent. Modification, deletion, administrative, and arbitrary execution functions must be absent or explicitly blocked.",MeshX Team & SAP Team,Not Started,OPEN — source or verification gaps,R02,Direct calls to prohibited operations fail even if omitted from discovery; approved reads succeed.,REVIEW.md; security-probe-results.json; suite XML/logs; source-snapshot.json; azure-read-verification.json
MCP-08,Schema validation,"Define strict JSON schemas for all tool parameters and responses. Reject unknown fields, type mismatch, excessive length, nested abuse, and malformed JSON-RPC messages.",MeshX Team & SAP Team,Not Started,NOT VERIFIED — dedicated acceptance evidence required,,Protocol fuzz and parameter abuse are rejected without provider execution or resource exhaustion.,REVIEW.md; security-probe-results.json; suite XML/logs; source-snapshot.json; azure-read-verification.json
MCP-09,Injection resistance,"Treat tool inputs and returned content as untrusted. Ensure tool descriptions, metadata, and responses contain no hidden instructions capable of manipulating the agent.",MeshX Team & SAP Team,Not Started,NOT VERIFIED — dedicated acceptance evidence required,,Poisoned metadata/content cannot override policy or induce unauthorized actions.,REVIEW.md; security-probe-results.json; suite XML/logs; source-snapshot.json; azure-read-verification.json
MCP-10,Tool integrity,"Protect tool names, descriptions, schemas, and routing from unauthorized change. Version them and require review/approval before release.",MeshX Team & SAP Team,Not Started,OPEN — source or verification gaps,R16,Unreviewed tool or route changes cannot enter the approved release manifest.,REVIEW.md; security-probe-results.json; suite XML/logs; source-snapshot.json; azure-read-verification.json
MCP-11,Rug-pull prevention,"Detect and block unapproved post-approval changes to MCP capabilities or behavior. Require revalidation when tool definitions, scopes, or downstream mappings change.",MeshX Team & SAP Team,Not Started,OPEN — source or verification gaps,R16,Post-approval tool/mapping change is detected and quarantined before further use.,REVIEW.md; security-probe-results.json; suite XML/logs; source-snapshot.json; azure-read-verification.json
MCP-12,Transport security,Use approved current TLS configuration end to end. Validate certificates and hostnames. Prevent plaintext or downgraded transport.,MeshX Team & SAP Team,Not Started,OPEN — source or verification gaps,R17,Plaintext/downgraded/invalid-certificate connections fail and normal trusted TLS succeeds.,REVIEW.md; security-probe-results.json; suite XML/logs; source-snapshot.json; azure-read-verification.json
MCP-13,Network restriction,"Expose the MCP server only through approved internet edge/gateway routes. Restrict source networks, ports, and destinations. Prevent direct bypass around Cloudflare and Quilr.",MeshX Team & SAP Team,Not Started,OPEN — source or verification gaps,"R07, R17",Authorized external-origin bypass tests cannot reach business handlers.,REVIEW.md; security-probe-results.json; suite XML/logs; source-snapshot.json; azure-read-verification.json
MCP-14,Egress control,"Allow the MCP server to connect only to approved MeshX services and required dependencies. Block arbitrary URLs, redirects, internal metadata services, and private-address SSRF paths.",MeshX Team & SAP Team,Not Started,OPEN — source or verification gaps,R07,Malicious URL/next-link/redirect fails while explicitly approved private SAP/MeshX access succeeds.,REVIEW.md; security-probe-results.json; suite XML/logs; source-snapshot.json; azure-read-verification.json
MCP-15,Secrets,Store MCP credentials and downstream secrets in an approved vault. Use short-lived credentials where feasible. Rotate and revoke them. Never expose them in MCP responses or logs.,MeshX Team & SAP Team,Not Started,OPEN — source or verification gaps,"R04, R09, R15",Rotation/revocation works and responses/logs/images contain no operational credentials.,REVIEW.md; security-probe-results.json; suite XML/logs; source-snapshot.json; azure-read-verification.json
MCP-16,Session security,"If sessions are used, generate unpredictable identifiers, bind them to the authenticated context, expire them, and prevent fixation/replay. Never treat them as proof of identity.",MeshX Team & SAP Team,Not Started,OPEN — source or verification gaps,R05,Stolen/fixed/expired session cannot be reused under a different principal or without authentication.,REVIEW.md; security-probe-results.json; suite XML/logs; source-snapshot.json; azure-read-verification.json
MCP-17,Replay and idempotency,Protect sensitive requests against replay. Apply nonces/timestamps or idempotency controls where relevant and prevent duplicate execution.,MeshX Team & SAP Team,Not Started,OPEN — source or verification gaps,"R01, R05, R06, R15",Concurrent/cross-host/restarted replay is blocked; harmless read retries remain supported within limits.,REVIEW.md; security-probe-results.json; suite XML/logs; source-snapshot.json; azure-read-verification.json
MCP-18,Rate and resource limits,"Enforce per-client/user/tool rate limits, payload limits, timeouts, concurrency limits, and result-size limits to prevent denial of service and uncontrolled data extraction.",MeshX Team & SAP Team,Not Started,NOT VERIFIED — dedicated acceptance evidence required,,Enumeration/load cannot bypass limits using another replica or excessive pagination.,REVIEW.md; security-probe-results.json; suite XML/logs; source-snapshot.json; azure-read-verification.json
MCP-19,Data minimization,"Return only approved, necessary fields and records. Suppress secrets, personal data, administrative metadata, and unrestricted raw datasets unless explicitly authorized.",MeshX Team & SAP Team,Not Started,OPEN — source or verification gaps,R12,Responses contain no excluded fields and bulk export requires separately verified authorization.,REVIEW.md; security-probe-results.json; suite XML/logs; source-snapshot.json; azure-read-verification.json
MCP-20,Data classification,"Map every exposed MCP resource/tool output to a data owner, classification, approved purpose, and access rule before connection.",MeshX Team & SAP Team,Not Started,NOT VERIFIED — dedicated acceptance evidence required,,No tool is enabled until its classification and permission contract is approved.,REVIEW.md; security-probe-results.json; suite XML/logs; source-snapshot.json; azure-read-verification.json
MCP-21,Output encoding,"Safely encode returned data for the consuming context. Prevent executable content, control-character abuse, CSV/formula injection, and unsafe file/content types.",MeshX Team & SAP Team,Not Started,NOT VERIFIED — dedicated acceptance evidence required,,HTML/control-character/formula-injection fixtures remain inert without corrupting valid numeric values.,REVIEW.md; security-probe-results.json; suite XML/logs; source-snapshot.json; azure-read-verification.json
MCP-22,Logging,"Log authentication, authorization decision, client/user, request/correlation IDs, tool/resource, parameter metadata, downstream target, result, volume, latency, and error, without logging secrets or unnecessary sensitive payloads.",MeshX Team & SAP Team,Not Started,OPEN — source or verification gaps,"R01, R09",A synthetic request is reconstructable without secrets or unnecessary payload content.,REVIEW.md; security-probe-results.json; suite XML/logs; source-snapshot.json; azure-read-verification.json
MCP-23,Correlation,"Propagate a shared integrity-protected correlation ID across agent, Quilr, Cloudflare, MCP server, and downstream MeshX calls to support reconstruction.",MeshX Team & SAP Team,Not Started,NOT VERIFIED — dedicated acceptance evidence required,,Trace remains consistent across gateways/MCP/downstream and a supplied ID cannot impersonate identity.,REVIEW.md; security-probe-results.json; suite XML/logs; source-snapshot.json; azure-read-verification.json
MCP-24,Monitoring,"Alert on authentication failures, authorization denials, unusual enumeration, abnormal extraction volume, schema failures, injection signatures, route bypass, definition changes, and administrative activity.",Cybersecurity Team,Not Started,OPEN — source or verification gaps,R17,"Each critical synthetic event reaches SOC with severity, context and a tested response runbook.",REVIEW.md; security-probe-results.json; suite XML/logs; source-snapshot.json; azure-read-verification.json
MCP-25,Error handling,"Fail closed and return sanitized errors that do not reveal stack traces, secrets, internal hosts, queries, schemas, or platform details.",MeshX Team & SAP Team,Not Started,NOT VERIFIED — dedicated acceptance evidence required,,"Malformed/denied/provider-failed calls expose no secrets, internal hosts or stack traces.",REVIEW.md; security-probe-results.json; suite XML/logs; source-snapshot.json; azure-read-verification.json
MCP-26,Dependency security,"Maintain an SBOM for the MCP server and its packages/images. Use trusted sources, pin versions, verify provenance, and remediate critical and high vulnerabilities before release.",MeshX Team & SAP Team,Not Started,OPEN — source or verification gaps,R17,Release digest/provenance matches scan evidence; unresolved release blockers prevent promotion.,REVIEW.md; security-probe-results.json; suite XML/logs; source-snapshot.json; azure-read-verification.json
MCP-27,Runtime hardening,"Run the MCP service with a non-root identity, minimal filesystem permissions, read-only filesystem where feasible, restricted capabilities, isolated workload, and a patched supported runtime.",MeshX Team & SAP Team,Not Started,OPEN — source or verification gaps,R17,Deployed configuration proves non-root execution and attempts to write forbidden paths fail.,REVIEW.md; security-probe-results.json; suite XML/logs; source-snapshot.json; azure-read-verification.json
MCP-28,Availability and resilience,"Use health checks, bounded retries, circuit breakers, dependency isolation, and safe degradation. Prevent retry storms and cascading failure into MeshX.",MeshX Team & SAP Team,Not Started,OPEN — source or verification gaps,"R06, R10, R13",Dependency outage causes bounded safe degradation without retry storms or false healthy claims.,REVIEW.md; security-probe-results.json; suite XML/logs; source-snapshot.json; azure-read-verification.json
MCP-29,Disablement and revocation,"Provide tested means to disable individual tools, clients, or the full MCP service and immediately revoke associated credentials without disrupting unrelated MeshX services.",MeshX Team & SAP Team,Not Started,OPEN — source or verification gaps,R07,Revoked scope cannot execute via APIs or queued jobs while unrelated MeshX services remain available.,REVIEW.md; security-probe-results.json; suite XML/logs; source-snapshot.json; azure-read-verification.json
MCP-30,Security testing,"Perform MCP-focused API and protocol testing covering authn/authz, confused deputy, tool poisoning, rug pull, injection, replay, SSRF, path bypass, excessive extraction, fuzzing, and denial of service.",MeshX Team & SAP Team,Not Started,OPEN — source or verification gaps,R16,"Auth, deputy, poisoning, drift, injection, replay, SSRF, bypass, extraction and fuzz cases have retest evidence.",REVIEW.md; security-probe-results.json; suite XML/logs; source-snapshot.json; azure-read-verification.json
