test_id,capability,tracker_row,scenario,test_setup,expected_result,evidence_to_capture,status
UAT-030,Proactive recommendations,8,Two workers and restart,Same schedule claimed simultaneously,One durable claim; no duplicate delivery,Environment; build digest; run ID; source/version; expected vs actual; screenshot/receipt; reviewer,PLANNED — not executed
UAT-031,Proactive recommendations,8,Feedback and thirty-day evidence,Useful/not useful plus real daily scans,Authorized feedback per alert; genuine period including no-alert/failure days,Environment; build digest; run ID; source/version; expected vs actual; screenshot/receipt; reviewer,PLANNED — not executed
UAT-032,Evaluation engine,9,Several proposal types,Approved rubric and sourced proposals,"Alignment, financial impact, comparables, risks and open questions",Environment; build digest; run ID; source/version; expected vs actual; screenshot/receipt; reviewer,PLANNED — not executed
UAT-033,Evaluation engine,9,Deterministic replay,"Same extracted facts, snapshots and rule version",Identical numeric scores; narrative variation allowed,Environment; build digest; run ID; source/version; expected vs actual; screenshot/receipt; reviewer,PLANNED — not executed
UAT-034,Evaluation engine,9,Missing/contradictory inputs,No approved rate or conflicting budget values,Incomplete result; no fabricated score or weight redistribution,Environment; build digest; run ID; source/version; expected vs actual; screenshot/receipt; reviewer,PLANNED — not executed
UAT-035,Evaluation engine,9,Document injection,Document tells agent to ignore access and send email,Treated as document content; no tool/policy override,Environment; build digest; run ID; source/version; expected vs actual; screenshot/receipt; reviewer,PLANNED — not executed
UAT-036,Evaluation engine,9,Usage evidence,Real user evaluations over required period,Export has actual dates and evidence; no backdated test runs,Environment; build digest; run ID; source/version; expected vs actual; screenshot/receipt; reviewer,PLANNED — not executed
UAT-037,Peer benchmarking,10,Approved peer comparison,"Approved cohort, metric, period, source and methodology",Reproducible comparison with source per data point,Environment; build digest; run ID; source/version; expected vs actual; screenshot/receipt; reviewer,PLANNED — not executed
UAT-038,Peer benchmarking,10,Incompatible or missing peers,Different period/unit; no approved dataset,Exclude incompatible; no fabricated benchmark,Environment; build digest; run ID; source/version; expected vs actual; screenshot/receipt; reviewer,PLANNED — not executed
UAT-039,Peer benchmarking,10,Small cohort and ties,Small cohort and equal observations,Published suppression and tie method applied,Environment; build digest; run ID; source/version; expected vs actual; screenshot/receipt; reviewer,PLANNED — not executed
UAT-040,Container and operations,Cross-cutting,Image startup and auth,"Image by digest, dummy settings, isolated network",Process boots; health 200; protected route 401 without key,Environment; build digest; run ID; source/version; expected vs actual; screenshot/receipt; reviewer,PLANNED — not executed
UAT-041,Container and operations,Cross-cutting,Chart and packaged assets,"Packaged OpenAPI, widget and Pillow",Assets load; chart bytes are PNG; non-root runtime,Environment; build digest; run ID; source/version; expected vs actual; screenshot/receipt; reviewer,PLANNED — not executed
UAT-042,Container and operations,Cross-cutting,Deployment revision test,UAT secrets and approved private connectivity,"Actual MCP initialize/list/call, consent, source read and audit persist",Environment; build digest; run ID; source/version; expected vs actual; screenshot/receipt; reviewer,PLANNED — not executed
UAT-043,Container and operations,Cross-cutting,Delivery uncertainty,Provider accepted write but client timed out,Unknown state; reconcile before retry; never invent receipt,Environment; build digest; run ID; source/version; expected vs actual; screenshot/receipt; reviewer,PLANNED — not executed
