Source sheet,Control ID,Domain,Original requirement,Original owner,Workbook status,Workbook notes,Work packages,Proposed release gate,Recommended fix,Acceptance evidence,Review status,Target date
Exec AI Agent Sec Controls ,AIDEV-12,Prompt injection,"Implement layered direct and indirect prompt-injection defenses. Treat all external content (email, documents, retrieved data, tool responses) as untrusted data, never as instructions.",AI Development Team / Quilr,Not Started,,WP07,P1 before affected production capability,Treat external content as untrusted and combine detection with authorization and approval gates.,Direct and indirect injection cannot cause unauthorized tool execution or disclosure.,Not independently verified; original workbook status preserved,To be assigned by accountable owner
Exec AI Agent Sec Controls ,AIDEV-13,Tool control,"Maintain an approved tool and connector inventory. Enforce allowlisting and bind every tool to an approved purpose, schema, scope, and data source.",AI Development Team,Not Started,,"WP03,WP11",P1 before affected production capability,"Bind approved tool IDs to purpose, schema, scope, source, owner and release version.",Unknown or changed capability is blocked pending approval and revalidation.,Not independently verified; original workbook status preserved,To be assigned by accountable owner
Exec AI Agent Sec Controls ,AIDEV-14,Agency containment,Disable high-impact and irreversible actions by default. Require human approval and an integrity-protected confirmation for any consequential action before it runs.,AI Development Team,Not Started,,"WP03,WP04",P1 before affected production capability,Keep consequential actions disabled unless exact preview is confirmed by a verified user and atomically claimed.,"Changed payload, missing confirmation, wrong user, expiry and concurrent replay produce no duplicate action.",Not independently verified; original workbook status preserved,To be assigned by accountable owner
Exec AI Agent Sec Controls ,AIDEV-15,Output controls,"Filter or block restricted data, credentials, system prompts, internal instructions, and unsafe output before it is displayed or used downstream.",AI Development Team / Quilr,Not Started,,WP07,P1 before affected production capability,Apply source permissions and minimization before generation plus output policy across text/cards/files/streaming.,Restricted test data and credentials never reach unauthorized output or partial streamed content.,Not independently verified; original workbook status preserved,To be assigned by accountable owner
Exec AI Agent Sec Controls ,AIDEV-16,Grounding,"Ground factual responses in approved sources, provide source attribution, distinguish facts from model-generated analysis, and surface uncertainty or conflicting evidence.",AI Development Team,Not Started,,WP07,P1 before affected production capability,"Require authorized source references, timestamps, completeness and distinction between facts and analysis.","Unavailable or malformed sources produce explicit limitations, never fabricated facts or zero balances.",Not independently verified; original workbook status preserved,To be assigned by accountable owner
Exec AI Agent Sec Controls ,AIDEV-17,Retrieval security,Restrict retrieval to approved indexed sources. Validate provenance and integrity. Prevent untrusted content from modifying system behavior.,AI Development Team,Not Started,,"WP07,WP08",P1 before affected production capability,Allowlist indexed sources and enforce source ACLs/provenance at retrieval and permission changes.,An unauthorized or newly revoked source is excluded before context construction.,Not independently verified; original workbook status preserved,To be assigned by accountable owner
Exec AI Agent Sec Controls ,AIDEV-18,Data minimization,"Send only the data attributes each request actually needs. Prohibit unnecessary prompt, context, document, or metadata transfer to models, gateways, and tools.",AI Development Team,Not Started,,WP08,P1 before affected production capability,Define per-tool field and context budgets; minimize before model/gateway transfer.,Captured synthetic request payload contains only the approved attributes needed for that operation.,Not independently verified; original workbook status preserved,To be assigned by accountable owner
Exec AI Agent Sec Controls ,AIDEV-19,Data isolation,"Prevent cross-user, cross-session, cross-agent, and cross-source data leakage in memory, caches, retrieval results, and conversation state.",AI Development Team,Not Started,,"WP02,WP08",P1 before affected production capability,Partition caches/memory/state by tenant/user and relevant session/source/policy; reauthorize on retrieval.,Two-user/two-tenant and revoked-access tests cannot retrieve another security context's results.,Not independently verified; original workbook status preserved,To be assigned by accountable owner
Exec AI Agent Sec Controls ,AIDEV-20,Logging and traceability,"Log user identity, request/correlation ID, prompt event, sources, policy decisions, model/agent version, tool calls, approvals, and outputs, while avoiding prohibited sensitive data.",AI Development Team,Not Started,,WP09,P1 before affected production capability,Persist safe correlated events and approved-action intent with stable IDs and verified commit status.,Reconstruct an action after restart; BUFFERED never releases a pending event; prohibited content absent.,Not independently verified; original workbook status preserved,To be assigned by accountable owner
Exec AI Agent Sec Controls ,AIDEV-21,Monitoring,"Generate security events for injection attempts, denied access, abnormal tool use, repeated failures, route bypass, unusual volume, and configuration changes. Forward approved events to monitoring.",AI Development Team / CyberNxt SOC,Not Started,,WP09,P1 before affected production capability,Publish agreed security events to CyberNxt SOC with triage runbooks and backlog alerts.,"Each critical synthetic event arrives, correlates correctly and triggers its expected operational response.",Not independently verified; original workbook status preserved,To be assigned by accountable owner
Exec AI Agent Sec Controls ,AIDEV-22,Kill switch and rollback,"Provide tested emergency disablement for the agent, tools, and connectors, plus rollback to a known-good configuration without retaining excessive permissions.",AI Development Team / Velora IT,Not Started,,WP12,P1 before affected production capability,Provide global/tool/client deny controls checked by APIs and queued workers plus tested rollback.,Kill-switch rehearsal blocks every route within the agreed target and preserves unrelated service access.,Not independently verified; original workbook status preserved,To be assigned by accountable owner
Exec AI Agent Sec Controls ,AIDEV-23,Configuration integrity,"Version and change-control system prompts, agent instructions, models, tools, policies, connectors, and deployment configuration. Detect unauthorized changes.",AI Development Team,Not Started,,WP11,P1 before affected production capability,"Version prompts, models, tools, connectors and policies; detect runtime drift.",Unapproved configuration change is detected and prevented from enabling a new capability.,Not independently verified; original workbook status preserved,To be assigned by accountable owner
Exec AI Agent Sec Controls ,AIDEV-24,Dependency and supply chain,"Maintain a component, package, model, and service inventory. Pin trusted versions, verify provenance, and remediate critical vulnerabilities before release.",AI Development Team,Not Started,,WP11,P1 before affected production capability,"Maintain package/image/model/service inventory, locks and provenance with a vulnerability update process.",Release SBOM matches the immutable image and unresolved release-blocking findings prevent promotion.,Not independently verified; original workbook status preserved,To be assigned by accountable owner
Exec AI Agent Sec Controls ,AIDEV-25,Security testing,"Complete application, API, agentic-AI, and integration security testing, including negative authorization, prompt attacks, leakage, tool misuse, egress bypass, rate abuse, and error handling.",Cybersecurity Team,In Progress,Process to onboard the security assessment vendor is in progress,WP12,P1 before affected production capability,Continue developer negative testing while vendor onboarding completes; arrange independent scoped assessment.,"Authorization, injection, leakage, bypass, misuse and recovery cases have revision-specific retest evidence.",Not independently verified; original workbook status preserved,To be assigned by accountable owner
Exec AI Agent Sec Controls ,AIDEV-26,Secure error handling,"Return generic, user-safe errors. Do not expose stack traces, internal endpoints, secrets, prompts, or schemas. Fail closed for authorization and policy errors.",AI Development Team,Not Started,,WP06,P1 before affected production capability,Replace raw exceptions with safe error codes and internal trace references; fail closed on policy errors.,"Error responses reveal no stack trace, secrets or internal queries; denied calls have zero side effects.",Not independently verified; original workbook status preserved,To be assigned by accountable owner
Exec AI Agent Sec Controls ,AIDEV-27,Resilience,"Apply timeouts, bounded retries, concurrency limits, rate limits, and circuit breakers to prevent loops, uncontrolled consumption, and cascading failures.",AI Development Team,Not Started,,"WP06,WP04",P1 before affected production capability,"Set overall deadlines, shared rate/concurrency caps, bounded retries and circuit breakers.",Load/failure tests stay within agreed budgets; uncertain writes are not automatically retried.,Not independently verified; original workbook status preserved,To be assigned by accountable owner
Exec AI Agent Sec Controls ,AIDEV-28,Privacy and retention,"Implement approved retention and deletion for prompts, responses, files, context, caches, and logs. Ensure residency requirements are met.",AI Development Team,Not Started,,WP08,P1 before affected production capability,"Approve a retention/residency register covering source copies, contexts, caches, audit, gateways and backups.",Deletion and permission revocation propagate; location/exception evidence covers every processor.,Not independently verified; original workbook status preserved,To be assigned by accountable owner
MeshX & SAP MCP Sec Controls,MCP-01,Architecture,"Document the MeshX MCP server architecture: hosting, transport, exposed resources/prompts/tools, downstream APIs, trust boundaries, and data flows to the agent through the approved gateway path.",MeshX Team & SAP Team,Not Started,,WP01,P1 before affected production capability,"Document actual MeshX/SAP hosting, transport, capabilities, downstream APIs and approved per-flow gateway path.",Service owner approves architecture and all enabled endpoints map to documented trust boundaries.,Not independently verified; original workbook status preserved,To be assigned by accountable owner
MeshX & SAP MCP Sec Controls,MCP-02,Attack surface,"Maintain an approved inventory of MCP tools, resources, prompts, endpoints, versions, owners, and required permissions. Disable everything not explicitly required.",MeshX Team & SAP Team,Not Started,,"WP03,WP11",P1 before affected production capability,Inventory and disable unneeded tools/resources/prompts/endpoints with versioned permissions.,Discovery and direct invocation expose only the approved capability inventory.,Not independently verified; original workbook status preserved,To be assigned by accountable owner
MeshX & SAP MCP Sec Controls,MCP-03,Authentication,Require strong authentication for every remote MCP connection and administrative interface. Reject unauthenticated requests. Never use session identifiers as authentication.,MeshX Team & SAP Team,Not Started,,WP02,P1 before affected production capability,"Authenticate initialization, sessions, tool/resource calls and administration; sessions do not grant identity.",No-token/wrong-token requests fail through every supported remote transport and alias.,Not independently verified; original workbook status preserved,To be assigned by accountable owner
MeshX & SAP MCP Sec Controls,MCP-04,Token validation,"Validate token signature, issuer, audience, expiry, not-before, scopes, and intended resource. Accept only tokens issued for this MCP server.",MeshX Team & SAP Team,Not Started,,WP02,P1 before affected production capability,Use strict resource-specific access-token verification with required expiry and exact issuer/audience.,"Wrong audience/issuer, missing expiry, invalid signature and missing scope fail before dispatch.",Not independently verified; original workbook status preserved,To be assigned by accountable owner
MeshX & SAP MCP Sec Controls,MCP-05,Authorization,"Authorize every MCP request and tool call using least privilege and the requesting user/service context. Enforce object, tenant, record, and field-level restrictions.",MeshX Team & SAP Team,Not Started,,"WP02,WP03",P1 before affected production capability,Authorize each operation and its tenant/object/record/field using verified requester context.,An authenticated user cannot enumerate or retrieve records/fields outside their entitlement.,Not independently verified; original workbook status preserved,To be assigned by accountable owner
MeshX & SAP MCP Sec Controls,MCP-06,Confused deputy,Prevent the MCP server from using its own broader privileges to perform actions the requester cannot perform. Bind authorization and consent to the initiating client and user. (Exec AI Agent),MeshX Team & SAP Team,Not Started,,WP02,P1 before affected production capability,Preserve initiating client/user and prevent backend service privileges widening the request.,A limited user with a privileged backend still receives only their permitted dataset.,Not independently verified; original workbook status preserved,To be assigned by accountable owner
MeshX & SAP MCP Sec Controls,MCP-07,Read-only scope,"Expose only the read-only capabilities required by the Exec AI Agent. Modification, deletion, administrative, and arbitrary execution functions must be absent or explicitly blocked.",MeshX Team & SAP Team,Not Started,,WP03,P1 before affected production capability,"Remove SAP/MeshX modifying, admin and arbitrary-execution capabilities from discovery and dispatch.",Direct calls to prohibited operations fail even if omitted from discovery; approved reads succeed.,Not independently verified; original workbook status preserved,To be assigned by accountable owner
MeshX & SAP MCP Sec Controls,MCP-08,Schema validation,"Define strict JSON schemas for all tool parameters and responses. Reject unknown fields, type mismatch, excessive length, nested abuse, and malformed JSON-RPC messages.",MeshX Team & SAP Team,Not Started,,WP06,P1 before affected production capability,"Enforce strict JSON-RPC/tool request and response schemas, depth/size limits and unknown-field rejection.",Protocol fuzz and parameter abuse are rejected without provider execution or resource exhaustion.,Not independently verified; original workbook status preserved,To be assigned by accountable owner
MeshX & SAP MCP Sec Controls,MCP-09,Injection resistance,"Treat tool inputs and returned content as untrusted. Ensure tool descriptions, metadata, and responses contain no hidden instructions capable of manipulating the agent.",MeshX Team & SAP Team,Not Started,,WP07,P1 before affected production capability,Treat inputs/metadata/results as untrusted; reject unapproved definitions and enforce backend action controls.,Poisoned metadata/content cannot override policy or induce unauthorized actions.,Not independently verified; original workbook status preserved,To be assigned by accountable owner
MeshX & SAP MCP Sec Controls,MCP-10,Tool integrity,"Protect tool names, descriptions, schemas, and routing from unauthorized change. Version them and require review/approval before release.",MeshX Team & SAP Team,Not Started,,WP11,P1 before affected production capability,"Release approved tool names, descriptions, schemas and routes together with signed/provenanced artifacts.",Unreviewed tool or route changes cannot enter the approved release manifest.,Not independently verified; original workbook status preserved,To be assigned by accountable owner
MeshX & SAP MCP Sec Controls,MCP-11,Rug-pull prevention,"Detect and block unapproved post-approval changes to MCP capabilities or behavior. Require revalidation when tool definitions, scopes, or downstream mappings change.",MeshX Team & SAP Team,Not Started,,WP11,P1 before affected production capability,Compare discovery and mappings to approved versions and revalidate changed behavior/scopes.,Post-approval tool/mapping change is detected and quarantined before further use.,Not independently verified; original workbook status preserved,To be assigned by accountable owner
MeshX & SAP MCP Sec Controls,MCP-12,Transport security,Use approved current TLS configuration end to end. Validate certificates and hostnames. Prevent plaintext or downgraded transport.,MeshX Team & SAP Team,Not Started,,WP05,P1 before affected production capability,Enforce approved TLS on every hop including gateway-to-origin with hostname verification.,Plaintext/downgraded/invalid-certificate connections fail and normal trusted TLS succeeds.,Not independently verified; original workbook status preserved,To be assigned by accountable owner
MeshX & SAP MCP Sec Controls,MCP-13,Network restriction,"Expose the MCP server only through approved internet edge/gateway routes. Restrict source networks, ports, and destinations. Prevent direct bypass around Cloudflare and Quilr.",MeshX Team & SAP Team,Not Started,,WP05,P1 before affected production capability,Restrict origin ingress to approved gateway paths and block alternate direct endpoints.,Authorized external-origin bypass tests cannot reach business handlers.,Not independently verified; original workbook status preserved,To be assigned by accountable owner
MeshX & SAP MCP Sec Controls,MCP-14,Egress control,"Allow the MCP server to connect only to approved MeshX services and required dependencies. Block arbitrary URLs, redirects, internal metadata services, and private-address SSRF paths.",MeshX Team & SAP Team,Not Started,,WP05,P1 before affected production capability,"Allowlist destinations, validate DNS and redirects, block metadata/unapproved internal addresses.",Malicious URL/next-link/redirect fails while explicitly approved private SAP/MeshX access succeeds.,Not independently verified; original workbook status preserved,To be assigned by accountable owner
MeshX & SAP MCP Sec Controls,MCP-15,Secrets,Store MCP credentials and downstream secrets in an approved vault. Use short-lived credentials where feasible. Rotate and revoke them. Never expose them in MCP responses or logs.,MeshX Team & SAP Team,Not Started,,WP10,P1 before affected production capability,Vault MCP/downstream credentials and use scoped short-lived identity where supported.,Rotation/revocation works and responses/logs/images contain no operational credentials.,Not independently verified; original workbook status preserved,To be assigned by accountable owner
MeshX & SAP MCP Sec Controls,MCP-16,Session security,"If sessions are used, generate unpredictable identifiers, bind them to the authenticated context, expire them, and prevent fixation/replay. Never treat them as proof of identity.",MeshX Team & SAP Team,Not Started,,WP02,P1 before affected production capability,Bind unpredictable expiring sessions to authenticated user/client and reauthorize each request.,Stolen/fixed/expired session cannot be reused under a different principal or without authentication.,Not independently verified; original workbook status preserved,To be assigned by accountable owner
MeshX & SAP MCP Sec Controls,MCP-17,Replay and idempotency,Protect sensitive requests against replay. Apply nonces/timestamps or idempotency controls where relevant and prevent duplicate execution.,MeshX Team & SAP Team,Not Started,,WP04,P1 before affected production capability,Use atomic durable request/approval claims for sensitive actions and distributed assertion replay protection.,Concurrent/cross-host/restarted replay is blocked; harmless read retries remain supported within limits.,Not independently verified; original workbook status preserved,To be assigned by accountable owner
MeshX & SAP MCP Sec Controls,MCP-18,Rate and resource limits,"Enforce per-client/user/tool rate limits, payload limits, timeouts, concurrency limits, and result-size limits to prevent denial of service and uncontrolled data extraction.",MeshX Team & SAP Team,Not Started,,WP06,P1 before affected production capability,"Enforce distributed per-user/client/tool rate, page/row/byte, deadline and concurrency budgets.",Enumeration/load cannot bypass limits using another replica or excessive pagination.,Not independently verified; original workbook status preserved,To be assigned by accountable owner
MeshX & SAP MCP Sec Controls,MCP-19,Data minimization,"Return only approved, necessary fields and records. Suppress secrets, personal data, administrative metadata, and unrestricted raw datasets unless explicitly authorized.",MeshX Team & SAP Team,Not Started,,WP08,P1 before affected production capability,Project only authorized required fields and cap raw dataset output before model transfer.,Responses contain no excluded fields and bulk export requires separately verified authorization.,Not independently verified; original workbook status preserved,To be assigned by accountable owner
MeshX & SAP MCP Sec Controls,MCP-20,Data classification,"Map every exposed MCP resource/tool output to a data owner, classification, approved purpose, and access rule before connection.",MeshX Team & SAP Team,Not Started,,"WP08,WP03",P1 before affected production capability,"Assign data owner, classification, approved purpose and access rule to every exposed output.",No tool is enabled until its classification and permission contract is approved.,Not independently verified; original workbook status preserved,To be assigned by accountable owner
MeshX & SAP MCP Sec Controls,MCP-21,Output encoding,"Safely encode returned data for the consuming context. Prevent executable content, control-character abuse, CSV/formula injection, and unsafe file/content types.",MeshX Team & SAP Team,Not Started,,WP06,P1 before affected production capability,"Encode for the actual card/HTML/file context and constrain types, URLs and dangerous export text.",HTML/control-character/formula-injection fixtures remain inert without corrupting valid numeric values.,Not independently verified; original workbook status preserved,To be assigned by accountable owner
MeshX & SAP MCP Sec Controls,MCP-22,Logging,"Log authentication, authorization decision, client/user, request/correlation IDs, tool/resource, parameter metadata, downstream target, result, volume, latency, and error, without logging secrets or unnecessary sensitive payloads.",MeshX Team & SAP Team,Not Started,,WP09,P1 before affected production capability,Log safe identity/decision/tool/target/result/volume/latency metadata with durable event IDs.,A synthetic request is reconstructable without secrets or unnecessary payload content.,Not independently verified; original workbook status preserved,To be assigned by accountable owner
MeshX & SAP MCP Sec Controls,MCP-23,Correlation,"Propagate a shared integrity-protected correlation ID across agent, Quilr, Cloudflare, MCP server, and downstream MeshX calls to support reconstruction.",MeshX Team & SAP Team,Not Started,,WP09,P1 before affected production capability,Generate trusted internal correlation and preserve it across authenticated hops; separate untrusted client IDs.,Trace remains consistent across gateways/MCP/downstream and a supplied ID cannot impersonate identity.,Not independently verified; original workbook status preserved,To be assigned by accountable owner
MeshX & SAP MCP Sec Controls,MCP-24,Monitoring,"Alert on authentication failures, authorization denials, unusual enumeration, abnormal extraction volume, schema failures, injection signatures, route bypass, definition changes, and administrative activity.",Cybersecurity Team,Not Started,,WP09,P1 before affected production capability,"Alert on auth denial, extraction, schema abuse, injection suspicion, bypass and definition/admin changes.","Each critical synthetic event reaches SOC with severity, context and a tested response runbook.",Not independently verified; original workbook status preserved,To be assigned by accountable owner
MeshX & SAP MCP Sec Controls,MCP-25,Error handling,"Fail closed and return sanitized errors that do not reveal stack traces, secrets, internal hosts, queries, schemas, or platform details.",MeshX Team & SAP Team,Not Started,,WP06,P1 before affected production capability,Fail closed and sanitize protocol/API errors; keep diagnostic details restricted.,"Malformed/denied/provider-failed calls expose no secrets, internal hosts or stack traces.",Not independently verified; original workbook status preserved,To be assigned by accountable owner
MeshX & SAP MCP Sec Controls,MCP-26,Dependency security,"Maintain an SBOM for the MCP server and its packages/images. Use trusted sources, pin versions, verify provenance, and remediate critical and high vulnerabilities before release.",MeshX Team & SAP Team,Not Started,,WP11,P1 before affected production capability,"Generate MCP image/package SBOM, lock trusted dependencies and gate high/critical findings.",Release digest/provenance matches scan evidence; unresolved release blockers prevent promotion.,Not independently verified; original workbook status preserved,To be assigned by accountable owner
MeshX & SAP MCP Sec Controls,MCP-27,Runtime hardening,"Run the MCP service with a non-root identity, minimal filesystem permissions, read-only filesystem where feasible, restricted capabilities, isolated workload, and a patched supported runtime.",MeshX Team & SAP Team,Not Started,,WP10,P1 before affected production capability,Run supported minimal images as non-root with restricted writes/capabilities and isolated identity.,Deployed configuration proves non-root execution and attempts to write forbidden paths fail.,Not independently verified; original workbook status preserved,To be assigned by accountable owner
MeshX & SAP MCP Sec Controls,MCP-28,Availability and resilience,"Use health checks, bounded retries, circuit breakers, dependency isolation, and safe degradation. Prevent retry storms and cascading failure into MeshX.",MeshX Team & SAP Team,Not Started,,"WP06,WP12",P1 before affected production capability,"Use health/readiness checks, bounded retry budgets, circuit breakers and dependency isolation.",Dependency outage causes bounded safe degradation without retry storms or false healthy claims.,Not independently verified; original workbook status preserved,To be assigned by accountable owner
MeshX & SAP MCP Sec Controls,MCP-29,Disablement and revocation,"Provide tested means to disable individual tools, clients, or the full MCP service and immediately revoke associated credentials without disrupting unrelated MeshX services.",MeshX Team & SAP Team,Not Started,,WP12,P1 before affected production capability,Disable individual tool/client/service at execution time and revoke related access with in-flight reconciliation.,Revoked scope cannot execute via APIs or queued jobs while unrelated MeshX services remain available.,Not independently verified; original workbook status preserved,To be assigned by accountable owner
MeshX & SAP MCP Sec Controls,MCP-30,Security testing,"Perform MCP-focused API and protocol testing covering authn/authz, confused deputy, tool poisoning, rug pull, injection, replay, SSRF, path bypass, excessive extraction, fuzzing, and denial of service.",MeshX Team & SAP Team,Not Started,,WP12,P1 before affected production capability,Perform version-aware MCP protocol/security testing and independent integration assessment.,"Auth, deputy, poisoning, drift, injection, replay, SSRF, bypass, extraction and fuzz cases have retest evidence.",Not independently verified; original workbook status preserved,To be assigned by accountable owner
