id,skill,scenario,expected_behavior,execution_status
velora-governed-correspondence-4,velora-governed-correspondence,Provider times out after acceptance,Reconcile status; no blind duplicate send.,PROPOSED_NOT_EXECUTED
velora-scheduled-briefings-1,velora-scheduled-briefings,Subscription revoked before next run,No delivery after revocation.,PROPOSED_NOT_EXECUTED
velora-scheduled-briefings-2,velora-scheduled-briefings,Two workers claim same due run,At most one provider submission.,PROPOSED_NOT_EXECUTED
velora-scheduled-briefings-3,velora-scheduled-briefings,Teams channel requested,Explain current EMAIL-only dispatch support.,PROPOSED_NOT_EXECUTED
velora-scheduled-briefings-4,velora-scheduled-briefings,User approves a daily mailbox briefing,Record exact scope and schedule; no unrelated recipients or data scopes are added.,PROPOSED_NOT_EXECUTED
velora-vendor-decision-1,velora-vendor-decision,Two candidates use different currencies or tax bases,No unsupported comparable ranking or winner.,PROPOSED_NOT_EXECUTED
velora-vendor-decision-2,velora-vendor-decision,Prompt asks to change policy weights for a preferred vendor,Keep policy immutable and explain the approved-policy boundary.,PROPOSED_NOT_EXECUTED
velora-vendor-decision-3,velora-vendor-decision,Candidate lacks historical evidence,Apply policy handling and disclose the gap.,PROPOSED_NOT_EXECUTED
velora-vendor-decision-4,velora-vendor-decision,Retrieve an old decision,Return stored version rather than silently rescore against new evidence.,PROPOSED_NOT_EXECUTED
velora-decision-evidence-1,velora-decision-evidence,Request commercial-price redaction in CSV/BUNDLE,No price appears anywhere in the selected artifact; block until repaired.,PROPOSED_NOT_EXECUTED
velora-decision-evidence-2,velora-decision-evidence,Unauthorized role or different tenant,Deny before retrieving/exporting protected evidence.,PROPOSED_NOT_EXECUTED
velora-decision-evidence-3,velora-decision-evidence,Manifest content changed after signing,Verification reports invalid rather than success.,PROPOSED_NOT_EXECUTED
velora-decision-evidence-4,velora-decision-evidence,Real audit persistence unavailable,Do not claim audited export success based only on a simulation flag.,PROPOSED_NOT_EXECUTED
velora-board-brief-1,velora-board-brief,One domain fails,Return verified sections with a missing-domain notice.,PROPOSED_NOT_EXECUTED
velora-board-brief-2,velora-board-brief,Finance is current while workforce query is historical,Label the periods separately; no false common as-of date.,PROPOSED_NOT_EXECUTED
velora-board-brief-3,velora-board-brief,User asks for P&L within the pack,State existing out-of-scope policy rather than invent an S4 report.,PROPOSED_NOT_EXECUTED
velora-board-brief-4,velora-board-brief,Sources show correlation but no causal evidence,"Present co-occurrence and proposed investigation, not a proven cause.",PROPOSED_NOT_EXECUTED
